-0.0346526	3.64614	-0.00727113	0.765065	-0.0346526	3.64614	-0.0282	3.1487	-0.1253	0.9921
-0.266192	4.03663	-0.297058	1.27586	-0.252767	4.00663	-0.2327	3.92	-0.3681	0.9298
-0.536931	5.00754	-0.353734	1.1668	-0.53634	5.00263	-0.6226	4.6162	-0.5878	0.809
-1.24606	5.64355	-1.24374	1.02903	-1.17207	5.36199	-1.1734	5.1935	-0.7705	0.6374
-2.04902	5.79904	-1.15421	-0.0439197	-1.93943	5.50188	-1.8504	5.6157	-0.9048	0.4258
-2.76108	5.72099	-0.782951	-0.0929286	-2.73543	5.6685	-2.6111	5.8563	-0.9823	0.1874
-3.09104	5.89215	-0.286938	0.504657	-3.04975	5.83801	-3.4078	5.9002	-0.998	-0.0628
-3.86603	6.06451	-1.18861	-0.368955	-4.00372	6.24356	-4.1904	5.7445	-0.9511	-0.309
-5.12709	5.59987	-1.25425	-1.0049	-5.31391	5.78123	-4.9097	5.3991	-0.8443	-0.5358
-5.45648	5.38598	-0.237177	0.217309	-5.30866	5.25368	-5.5205	4.8857	-0.6846	-0.729
-6.16324	4.65274	-1.23674	-1.36697	-6.04183	4.57012	-5.9844	4.2365	-0.4818	-0.8763
-6.47957	3.40081	-0.552615	-1.87429	-6.20842	3.24949	-6.2723	3.4924	-0.2487	-0.9686
-6.71218	2.65375	0.332456	-0.511268	-6.91094	2.73785	-6.3661	2.7	0	-1
-6.18239	1.68511	0.472343	-1.25266	-5.84875	1.62053	-6.2599	1.9092	0.2487	-0.9686
-5.99076	0.758409	0.401928	-0.993419	-6.16316	0.780648	-5.9603	1.1697	0.4817	-0.8763
-4.69882	-16.8988	3.79511	-33.985	-5.16677	0.617201	-5.4863	0.5278	0.6845	-0.729
33.7325	-12.1529	87.3633	4.15092	-4.86541	-0.120236	-4.8675	0.0241	0.8443	-0.5358
1.5922	-47.1113	-3.998	-86.3335	-3.96562	-0.186492	-4.1429	-0.31	0.951	-0.309
-14.3271	-4.35874	-43.8279	2.85966	-2.98397	-0.358269	-3.358	-0.4533	0.998	-0.0628
-2.53449	-3.43347	0.748017	0.839667	-2.24905	-0.300197	-2.562	-0.397	0.9823	0.1874
-3.39768	0.1863	-2.68027	2.64393	-1.74382	-0.176186	-1.8052	-0.1445	0.9048	0.4258
-2.20973	0.0484075	0.348452	-1.10141	-1.034	0.266549	-1.1348	0.2884	0.7705	0.6374
0.54823	-3.87846	5.35612	-8.50032	-0.374116	0.506268	-0.5932	0.8743	0.5878	0.809
29.8108	9.42316	66.6087	33.6526	-0.226216	1.52774	-0.2143	1.5765	0.3682	0.9298
3.06351	19.4606	-21.8965	42.8522	-0.00612239	1.74739	-0.022	2.3509	0.1254	0.9921
8.66252	5.9794	0.084511	3.07491	-0.0155971	2.88636	0.0157	3.1494	0.0941	0.9956
-3.45049	8.95434	-10.4029	10.038	0.184533	3.58025	0.1959	3.9267	0.3388	0.9409
6.563	11.9559	17.425	14.5627	0.572291	4.60296	0.5637	4.6348	0.5621	0.8271
-4.56629	12.3099	-10.7571	11.308	1.05198	5.01679	1.096	5.2292	0.7501	0.6613
10.488	13.8106	20.6464	15.5428	1.50381	5.62588	1.7595	5.6724	0.891	0.454
-1.64742	13.3005	-9.08654	10.1963	2.58552	6.54932	2.5123	5.9368	0.9759	0.2181
14.1436	13.1377	23.0431	13.969	3.36732	5.5071	3.3072	6.0057	0.9995	-0.0314
1.28399	12.2892	-5.63662	7.44601	4.05154	5.73198	4.0943	5.8747	0.9603	-0.279
13.4681	10.0281	19.5751	7.24641	4.98459	5.51864	4.8241	5.552	0.8607	-0.5091
4.71311	10.6486	-2.80682	4.49517	5.68129	5.37067	5.4507	5.0581	0.7071	-0.7071
11.1888	6.593	10.8323	0.121943	6.46497	5.18109	5.9347	4.4238	0.509	-0.8608
7.01335	6.97413	-0.00305364	0.428724	6.57713	3.97209	6.2459	3.689	0.279	-0.9603
8.01073	3.25174	1.4698	-1.91245	6.59929	3.26386	6.3645	2.9	0.0314	-0.9995
7.10632	2.84724	-0.0565757	-0.92065	6.60669	2.38471	6.2832	2.1062	-0.2182	-0.9759
6.39155	0.863307	-0.539384	-2.36088	5.71207	0.897798	6.007	1.3576	-0.454	-0.891
5.80318	1.058	-0.0513187	1.16322	5.25115	0.904639	5.5533	0.7013	-0.6613	-0.7501
5.39866	0.270461	-0.225395	-1.8129	4.97085	0.406023	4.9507	0.1783	-0.8271	-0.5621
4.69034	-0.0810081	-0.656231	-0.00497348	4.3481	-0.177065	4.2369	-0.1783	-0.9409	-0.3387
3.91082	-0.468995	-0.917497	-0.702031	3.76656	-0.432403	3.4569	-0.3463	-0.9956	-0.0941
3.02797	-0.364428	-0.713826	0.337431	2.68256	-0.367368	2.6596	-0.3149	-0.9877	0.1564
1.90372	-0.168024	-1.2087	0.359283	1.53133	-0.118454	1.8952	-0.0863	-0.9178	0.3971
1.13416	0.248186	-0.948703	0.623295	1.23813	0.297617	1.2116	0.3252	-0.7902	0.6129
0.508733	0.81226	-0.585252	0.881883	0.491082	0.760292	0.6518	0.8938	-0.6129	0.7902
0.241273	1.50063	-0.0362407	1.65227	0.173381	1.07167	0.2511	1.5838	-0.3971	0.9178
0.105539	2.57717	-0.302088	0.701807	0.120328	2.75197	0.0345	2.3517	-0.1564	0.9877
